P,DD,NCE,LS,NCP,IIM,FID,RWs,SC,UP,NCPDD,RW
"""Yes, of course, if it's fine tomorrow,"" said Mrs. Ramsay. ""But you'll have to be up with the lark,"" she added.","""Yes, of course, if it's fine tomorrow,""","""But you'll have to be up with the lark,""","Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows,cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.","though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.","Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.","For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn? she would ask; and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were,--if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea? How would you like that?","mocked him; Prue mocked him; Andrew, Jasper, Roger mocked him;","Apart from the habit of exaggeration which they had from her, and from the implication (which was true) that she asked too many people to stay, and had to lodge some in the town, she could not bear incivility to her guests, to young men in particular, who were poor as churchmice, ""exceptionally able,"" her husband said, his great admirers, and come there for a holiday. Indeed, she had the whole of the other sex under her protection; for reasons she could not explain, for their chivalry and valour, for the fact that they negotiated treaties, ruled India, controlled finance; finally for an attitude towards herself which no woman could fail to feel or to find agreeable, something trustful, childlike, reverential; which an old woman could take from a young man without loss of dignity, and woe betide the girl--pray Heaven it was none of her daughters!--who did not feel the worth of it, and all that it implied, to the marrow of her bones!","in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry,","He should have been a great philosopher,",Someone had blundered.
"To her son these words conveyed an extraordinary joy, as if it were settled, the expedition were bound to take place, and the wonder to which he had looked forward, for years and years it seemed, was, after a night's darkness and a day's sail, within touch. Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows,cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss. It was fringed with joy. The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustling- -all these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.","""But you'll have to be up with the lark,""","""It's due west,""","The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustling- -all these were so coloured and distinguished in his mind that he had already his private code, his secret language, though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.","For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn?","If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them.",So,"up and down, up and down,","They must find a way out of it all. There might be some simpler way, some less laborious way, she sighed. When she looked in the glass and saw her hair grey, her cheek sunk, at fifty, she thought, possibly she might have managed things better--her husband; money; his books. But for her own part she would never for a single second regret her decision, evade difficulties, or slur over duties. She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Rose--could sport with infidel ideas which they had brewed for themselves of a life different from hers; in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased them--or, speaking accurately, been invited to stay with them--in the Isle of Skye.",Tansley's tie; the passing of the Reform Bill; sea birds and butterflies; people;,"Odious little man,","""Someone had blundered"""
"""But,"" said his father, stopping in front of the drawing-room window, ""it won't be fine.""","""But,""","""Boldly we rode and well,""","Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement. What he said was true.","and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were,--if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea? How would you like that?","And, with her basket and her parasol, there she was again, ten minutes later, giving out a sense of being ready, of being equipped for a jaunt, which, however, she must interrupt for a moment, as they passed the tennis lawn, to ask Mr. Carmichael, who was basking with his yellow cat's eyes ajar, so that like a cat's they seemed to reflect the branches moving or the clouds passing, but to give no inkling of any inner thoughts or emotion whatsoever, if he wanted anything.","Yes, he did say disagreeable things,","wo had won this, who had won","They knew what he liked best-to be for ever walking up and down, up and down, with Mr. Ramsay, and saying wo had won this, who had won that, who was a ""first rate man"" at Latin verses, who was ""brilliant but I think fundamentally unsound,"" who was undoubtedly the ""ablest fellow in Balliol,"" who had buried his light temporarily at Bristol or Bedford, but was bound to be heard of later when his Prolegomena, of which Mr. Tansley had the first pages in proof with him if Mr. Ramsay would like to see them, to some branch of mathematics or philosophy saw the light of day.",She had a dull errand in the town; she had a letter or two to write; she would be ten minutes perhaps; she would put on her hat.,why go on saying that?,someone had blundered.
"Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it. Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement. What he said was true. It was always true. He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.","""it won't be fine.""",Someone had blundered.,"He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.",So,"Yes, he felt that in her. He felt many things, something in particular that excited him and disturbed him for reasons which he could not give. He would like her to see him, gowned and hooded, walking in a procession. A fellowship, a professorship, he felt capable of anything and saw himself- but what was she looking at? At a man pasting a bill.","it was odious of him to rub this in, and make James still more disappointed;",who was,"Disappearing as stealthily as stags from the dinner-table directly the meal was over, the eight sons and daughters of Mr. and Mrs. Ramsay sought their bedrooms, their fastness in a house where there was no other privacy to debate anything, everything; Tansley's tie; the passing of the Reform Bill; sea birds and butterflies; people; while the sun poured into those attics, which a plank alone separated from each other so that every footstep could be plainly heard and the Swiss girl sobbing for her father who was dying of cancer in a valley of the Grisons, and lit up bats, flannels, straw hats, ink-pots, paint-pots, beetles, and the skulls of small birds, while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds, which was in the towels too, gritty with sand from bathing.",in a vast and benevolent lethargy of well-wishing; all the house; all the world;,"But the number of men who make a definite contribution to anything whatsoever is very small,",He shivered; he quivered.
"""But it may be fine--I expect it will be fine,"" said Mrs. Ramsay, making some little twist of the reddish brown stocking she was knitting, impatiently. If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them. For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn? she would ask; and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were,--if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea? How would you like that? she asked, addressing herself particularly to her daughters. So she added, rather differently, one must take them whatever comforts one can.","""But it may be fine--I expect it will be fine,""",how SHE was a favourite.,"If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them.","Yes,","She could not follow the ugly academic jargon, that rattled itself off so glibly, but said to herself that she saw now why going to the circus had knocked him off his perch, poor little man, and why he came out, instantly, with all that about his father and mother and brothers and sisters, and she would see to it that they didn't laugh at him any more; she would tell Prue about it. What he would have liked, she supposed, would have been to say how he had gone not to the circus but to Ibsen with the Ramsays. He was an awful prig - oh yes, an insufferable bore. For, though they had reached the town now and were in the main street, with carts grinding past on the cobbles, still he went on talking, about settlements, and teaching, and working men, and helping our own class, and lectures, till she gathered that he had got back entire self-confidence, had recovered from the circus, and was about (and now again she liked him warmly) to tell her--but here, the houses falling away on both sides, they came out on the quay, and the whole bay spread before them and Mrs. Ramsay could not help exclaiming, ""Oh, how beautiful!"" For the great plateful of blue water was before her; the hoary Lighthouse, distant, austere, in the midst; and on the right, as far as the eye could see, fading and falling, in soft low pleats, the green sand dunes with the wild flowing grasses on them, which always seemed to be running away into some moon country, uninhabited of men.","He had not chased them,",who was,"She had in mind at the moment, rich and poor, high and low; the great in birth receiving from her, half grudging, some respect, for had she not in her veins the blood of that very noble, if slightly mythical, Italian house, whose daughters, scattered about English drawing-rooms in the nineteenth century, had lisped so charmingly, had stormed so wildly, and all her wit and her bearing and her temper came from them, and not from the sluggish English, or the cold Scotch; but more profoundly, she ruminated the other problem, of rich and poor, and the things she saw with her own eyes, weekly, daily, here or in London, when she visited this widow, or that struggling wife in person with a bag on her arm, and a note-book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings, employment and unemployment, in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation, half a relief to her own curiosity, and become what with her untrained mind she greatly admired, an investigator, elucidating the social problem.",an affair at Oxford with some girl; an early marriage; poverty; going to India;,"He should have been a great philosopher,",He quivered; he shivered.
"""It's due west,"" said the atheist Tansley, holding his bony fingers spread so that the wind blew through them, for he was sharing Mr. Ramsay's evening walk up and down, up and down the terrace. That is to say, the wind blew from the worst possible direction for landing at the Lighthouse. Yes, he did say disagreeable things, Mrs. Ramsay admitted; it was odious of him to rub this in, and make James still more disappointed; but at the same time, she would not let them laugh at him. ""The atheist,"" they called him; ""the little atheist."" Rose mocked him; Prue mocked him; Andrew, Jasper, Roger mocked him; even old Badger without a tooth in his head had bit him, for being (as Nancy put it) the hundred and tenth young man to chase them all the way up to the Hebrides when it was ever so much nicer to be alone.","""It's due west,""","""Some one had blundered!""","She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Rose--could sport with infidel ideas which they had brewed for themselves of a life different from hers; in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased them--or, speaking accurately, been invited to stay with them--in the Isle of Skye.",it was a little rough.,"Under the influence of that extraordinary emotion which had been growing all the walk, had begun in the garden when he had wanted to take her bag, had increased in the town when he had wanted to tell her everything about himself, he was coming to see himself, and everything he had ever known gone crooked a little. It was awfully strange.","He was such a miserable specimen,",who was,"The gruff murmur, irregularly broken by the taking out of pipes and the putting in of pipes which had kept on assuring her, though she could not hear what was said (as she sat in the window which opened on the terrace), that the men were happily talking; this sound, which had lasted now half an hour and had taken its place soothingly in the scale of sounds pressing on top of her, such as the tap of balls upon bats, the sharp, sudden bark now and then, ""How's that? How's that?"" of the children playing cricket, had ceased; so that the monotonous fall of the waves on the beach, which for the most part beat a measured and soothing tattoo to her thoughts and seemed consolingly to repeat over and over again as she sat with the children the words of some old cradle song, murmured by nature, ""I am guarding you--I am your support,"" but at other times suddenly and unexpectedly, especially when her mind raised itself slightly from the task actually in hand, had no such kindly meaning, but like a ghostly roll of drums remorselessly beat the measure of life, made one think of the destruction of the island and its engulfment in the sea, and warned her whose day had slipped past in one quick doing after another that it was all ephemeral as a rainbow--this sound which had been obscured and concealed under the other sounds suddenly thundered hollow in her ears and made her look up with an impulse of terror.",He had to make things last twice the time other people did; he smoked the cheapest tobacco; shag; the same the old men did in the quays.,"Odious little man,","""Someone had blundered,"""
"""Nonsense,"" said Mrs. Ramsay, with great severity. Apart from the habit of exaggeration which they had from her, and from the implication (which was true) that she asked too many people to stay, and had to lodge some in the town, she could not bear incivility to her guests, to young men in particular, who were poor as churchmice, ""exceptionally able,"" her husband said, his great admirers, and come there for a holiday. Indeed, she had the whole of the other sex under her protection; for reasons she could not explain, for their chivalry and valour, for the fact that they negotiated treaties, ruled India, controlled finance; finally for an attitude towards herself which no woman could fail to feel or to find agreeable, something trustful, childlike, reverential; which an old woman could take from a young man without loss of dignity, and woe betide the girl--pray Heaven it was none of her daughters!--who did not feel the worth of it, and all that it implied, to the marrow of her bones!","""Nonsense,""",But what had happened?,"They knew what he liked best-to be for ever walking up and down, up and down, with Mr. Ramsay, and saying wo had won this, who had won that, who was a ""first rate man"" at Latin verses, who was ""brilliant but I think fundamentally unsound,"" who was undoubtedly the ""ablest fellow in Balliol,"" who had buried his light temporarily at Bristol or Bedford, but was bound to be heard of later when his Prolegomena, of which Mr. Tansley had the first pages in proof with him if Mr. Ramsay would like to see them, to some branch of mathematics or philosophy saw the light of day.",but he had made an unfortunate marriage.,"With stars in her eyes and veils in her hair, with cyclamen and wild violets--what nonsense was he thinking? She was fifty at least; she had eight children. Stepping through fields of flowers and taking to her breast buds that had broken and lambs that had fallen; with the stars in her eyes and the wind in her hair -","all humps and hollows. He couldn't play cricket; he poked; he shuffled. He was a sarcastic brute,",Charles Tansley felt an extraordinary pride;,"It was as if the water floated off and set sailing thoughts which had grown stagnant on dry land, and gave to their bodies even some sort of physical relief. First, the pulse of colour flooded the bay with blue, and the heart expanded with it and the body swam, only the next instant to be checked and chilled by the prickly blackness on the ruffled waves. Then, up behind the great black rock, almost every evening spurted irregularly, so that one had to watch for it and it was a delight when it came, a fountain of white water; and then, while one waited for that, one watched, on the pale semicircular beach, wave after wave shedding again and again smoothly, a film of mother-of-pearl.","He heard her quick step above; heard her voice cheerful, then low; looked at the mats, tea-caddies, glass shades; waited quite impatiently; looked forward eagerly to the walk home; determined to carry her bag; then heard her come out; shut a door; say they must keep the windows open and the doors shut, ask at the house for anything they wanted (she must be talking to a child) when, suddenly, in she came, stood for a moment silent (as if she had been pretending up there, and for a moment let herself be now), stood quite motionless for a moment against a picture of Queen Victoria wearing the blue ribbon of the Garter; when all at once he realised that it was this: it was this: - she was the most beautiful person he had ever seen.",why go on saying that?,"""Someone had blundered"""
"She turned with severity upon Nancy. He had not chased them, she said. He had been asked.","""There'll be no landing at the Lighthouse tomorrow,""",Someone had blundered.,"Disappearing as stealthily as stags from the dinner-table directly the meal was over, the eight sons and daughters of Mr. and Mrs. Ramsay sought their bedrooms, their fastness in a house where there was no other privacy to debate anything, everything; Tansley's tie; the passing of the Reform Bill; sea birds and butterflies; people; while the sun poured into those attics, which a plank alone separated from each other so that every footstep could be plainly heard and the Swiss girl sobbing for her father who was dying of cancer in a valley of the Grisons, and lit up bats, flannels, straw hats, ink-pots, paint-pots, beetles, and the skulls of small birds, while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds, which was in the towels too, gritty with sand from bathing.","such as the tap of balls upon bats, the sharp, sudden bark now and then, ""How's that? How's that?"" of the children playing cricket,","All these young men parodied her husband,","Yes, said Charles Tansley, it was a little rough.",Charles Tansley felt an extraordinary pride;,"But was it nothing but looks, people said? What was there behind itï¿½her beauty and splendour? Had he blown his brains out, they asked, had he died the week before they were married--some other, earlier lover, of whom rumours reached one? Or was there nothing? nothing but an incomparable beauty which she lived behind, and could do nothing to disturb? For easily though she might have said at some moment of intimacy when stories of great passion, of love foiled, of ambition thwarted came her way how she too had known or felt or been through it herself, she never spoke. She was silent always. She knew then--she knew without having learnt. Her simplicity fathomed what clever people falsified. Her singleness of mind made her drop plumb like a stone, alight exact as a bird, gave her, naturally, this swoop and fall of the spirit upon truth which delighted, eased, sustained--falsely perhaps.",'(',"But the number of men who make a definite contribution to anything whatsoever is very small,",he did not trust her.
"They must find a way out of it all. There might be some simpler way, some less laborious way, she sighed. When she looked in the glass and saw her hair grey, her cheek sunk, at fifty, she thought, possibly she might have managed things better--her husband; money; his books. But for her own part she would never for a single second regret her decision, evade difficulties, or slur over duties. She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Rose--could sport with infidel ideas which they had brewed for themselves of a life different from hers; in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased them--or, speaking accurately, been invited to stay with them--in the Isle of Skye.","""Aren't you drenched to the skin?""","""Someone had blundered""","She had in mind at the moment, rich and poor, high and low; the great in birth receiving from her, half grudging, some respect, for had she not in her veins the blood of that very noble, if slightly mythical, Italian house, whose daughters, scattered about English drawing-rooms in the nineteenth century, had lisped so charmingly, had stormed so wildly, and all her wit and her bearing and her temper came from them, and not from the sluggish English, or the cold Scotch; but more profoundly, she ruminated the other problem, of rich and poor, and the things she saw with her own eyes, weekly, daily, here or in London, when she visited this widow, or that struggling wife in person with a bag on her arm, and a note-book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings, employment and unemployment, in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation, half a relief to her own curiosity, and become what with her untrained mind she greatly admired, an investigator, elucidating the social problem.","something between a croak and a song,","With her little Chinese eyes and her puckered-up face, she would never marry; one could not take her painting very seriously; she was an independent little creature, and Mrs. Ramsay liked her for it; so, remembering her promise, she bent her head.","But it was not that they minded,",Lily's picture. Lily's picture!,"It was a splendid mind. For if thought is like the keyboard of a piano, divided into so many notes, or like the alphabet is ranged in twenty-six letters all in order, then his splendid mind had no sort of difficulty in running over those letters one by one, firmly and accurately, until it had reached, say, the letter Q. He reached Q. Very few people in the whole of England ever reach Q. Here, stopping for one moment by the stone urn which held the geraniums, he saw, but now far, far away, like children picking up shells, divinely innocent and occupied with little trifles at their feet and somehow entirely defenceless against a doom which he perceived, his wife and son, together, in the window. They needed his protection; he gave it them. But after Q? What comes next? After Q there are a number of letters the last of which is scarcely visible to mortal eyes, but glimmers red in the distance. Z is only reached once by one man in a generation. Still, if he could reach R it would be something. Here at least was Q. He dug his heels in at Q. Q he was sure of. Q he could demonstrate. If Q then is Q--R--. Here he knocked his pipe out, with two or three resonant taps on the handle of the urn, and proceeded. ""Then R ..."" He braced himself. He clenched himself.",')',"He should have been a great philosopher,",He did not trust her.
"""There'll be no landing at the Lighthouse tomorrow,"" said Charles Tansley, clapping his hands together as he stood at the window with her husband. Surely, he had said enough. She wished they would both leave her and James alone and go on talking. She looked at him. He was such a miserable specimen, the children said, all humps and hollows. He couldn't play cricket; he poked; he shuffled. He was a sarcastic brute, Andrew said. They knew what he liked best-to be for ever walking up and down, up and down, with Mr. Ramsay, and saying wo had won this, who had won that, who was a ""first rate man"" at Latin verses, who was ""brilliant but I think fundamentally unsound,"" who was undoubtedly the ""ablest fellow in Balliol,"" who had buried his light temporarily at Bristol or Bedford, but was bound to be heard of later when his Prolegomena, of which Mr. Tansley had the first pages in proof with him if Mr. Ramsay would like to see them, to some branch of mathematics or philosophy saw the light of day. That was what they talked about.","""Damp, not wet through,""",HIS,"And, with her basket and her parasol, there she was again, ten minutes later, giving out a sense of being ready, of being equipped for a jaunt, which, however, she must interrupt for a moment, as they passed the tennis lawn, to ask Mr. Carmichael, who was basking with his yellow cat's eyes ajar, so that like a cat's they seemed to reflect the branches moving or the clouds passing, but to give no inkling of any inner thoughts or emotion whatsoever, if he wanted anything.",she supposed,"Never was anybody at once so ridiculous and so alarming. But so long as he kept like that, waving, shouting, she was safe; he would not stand still and look at her picture. And that was what Lily Briscoe could not have endured. Even while she looked at the mass, at the line, at the colour, at Mrs. Ramsay sitting in the window with James, she kept a feeler on her surroundings lest some one should creep up, and suddenly she should find her picture looked at. But now, with all her senses quickened as they were, looking, straining, till the colour of the wall and the jacmanna beyond burnt into her eyes, she was aware of someone coming out of the house, coming towards her; but somehow divined, from the footfall, William Bankes, so that though her brush quivered, she did not, as she would have done had it been Mr. Tansley, Paul Rayley, Minta Doyle, or practically anybody else, turn her canvas upon the grass, but let it stand. William Bankes stood beside her.",It was not his face; it was not his manners. It was him - his point of view.,glared at them. He glared at them,"Feelings that would not have disgraced a leader who, now that the snow has begun to fall and the mountain top is covered in mist, knows that he must lay himself down and die before morning comes, stole upon him, paling the colour of his eyes, giving him, even in the two minutes of his turn on the terrace, the bleached look of withered old age. Yet he would not die lying down; he would find some crag of rock, and there, his eyes fixed on the storm, trying to the end to pierce the darkness, he would die standing. He would never reach R.","But his son hated him. He hated him for coming up to them, for stopping and looking down on them; he hated him for interrupting them; he hated him for the exaltation and sublimity of his gestures; for the magnificence of his head; for his exactingness and egotism (for there he stood, commanding them to attend to him) but most of all he hated the twang and twitter of his father's emotion which, vibrating round them, disturbed the perfect simplicity and good sense of his relations with his mother.","Odious little man,",after all--after all
