DD,LS,IIM,FID,RWs,SC,UP,NCE,NCP,RW
"""Yes, of course, if it's fine tomorrow,""","Since he belonged, even at the age of six, to that great clan which cannot keep this feeling separate from that, but must let future prospects, with their joys and sorrows,cloud what is actually at hand, since to such people even in earliest childhood any turn in the wheel of sensation has the power to crystallise and transfix the moment upon which its gloom or radiance rests, James Ramsay, sitting on the floor cutting out pictures from the illustrated catalogue of the Army and Navy stores, endowed the picture of a refrigerator, as his mother spoke, with heavenly bliss.","Had there been an axe handy, a poker, or any weapon that would have gashed a hole in his father's breast and killed him, there and then, James would have seized it.","<NCP>For how would you like to be shut up for a whole month at a time, and possibly more in stormy weather, upon a rock the size of a tennis lawn?</NCP> she would ask; <NCP>and to have no letters or newspapers, and to see nobody; if you were married, not to see your wife, not to know how your children were,--if they were ill, if they had fallen down and broken their legs or arms; to see the same dreary waves breaking week after week, and then a dreadful storm coming, and the windows covered with spray, and birds dashed against the lamp, and the whole place rocking, and not be able to put your nose out of doors for fear of being swept into the sea? How would you like that?</NCP>","mocked him; Prue mocked him; Andrew, Jasper, Roger mocked him;","Apart from the habit of exaggeration which they had from her, and from the implication (which was true) that she asked too many people to stay, and had to lodge some in the town, she could not bear incivility to her guests, to young men in particular, who were poor as churchmice, ""exceptionally able,"" her husband said, his great admirers, and come there for a holiday. Indeed, she had the whole of the other sex under her protection; for reasons she could not explain, for their chivalry and valour, for the fact that they negotiated treaties, ruled India, controlled finance; finally for an attitude towards herself which no woman could fail to feel or to find agreeable, something trustful, childlike, reverential; which an old woman could take from a young man without loss of dignity, and woe betide the girl--pray Heaven it was none of her daughters!--who did not feel the worth of it, and all that it implied, to the marrow of her bones!",She had a dull errand in the town; she had a letter or two to write; she would be ten minutes perhaps; she would put on her hat.,"""Boldly we rode and well,""",she supposed,"<NCE>""Someone had blundered""</NCE>"
"<NCE>""But you'll have to be up with the lark,""</NCE>","The wheelbarrow, the lawnmower, the sound of poplar trees, leaves whitening before rain, rooks cawing, brooms knocking, dresses rustling- -all these were so coloured and distinguished in his mind that he had already his private code, his secret language, <NCP>though he appeared the image of stark and uncompromising severity, with his high forehead and his fierce blue eyes, impeccably candid and pure, frowning slightly at the sight of human frailty, so that his mother, watching him guide his scissors neatly round the refrigerator, imagined him all red and ermine on the Bench or directing a stern and momentous enterprise in some crisis of public affairs.</NCP>","Yes, he felt that in her. He felt many things, something in particular that excited him and disturbed him for reasons which he could not give. He would like her to see him, gowned and hooded, walking in a procession. A fellowship, a professorship, he felt capable of anything and saw himself- but what was she looking at? At a man pasting a bill.",<NCP> So,Lily's picture. Lily's picture!,"They must find a way out of it all. There might be some simpler way, some less laborious way, she sighed. When she looked in the glass and saw her hair grey, her cheek sunk, at fifty, she thought, possibly she might have managed things better--her husband; money; his books. But for her own part she would never for a single second regret her decision, evade difficulties, or slur over duties. <LS> She was now formidable to behold, and it was only in silence, looking up from their plates, after she had spoken so severely about Charles Tansley, that her daughters, Prue, Nancy, Rose--could sport with infidel ideas which they had brewed for themselves of a life different from hers; <UP> in Paris, perhaps; a wilder life; not always taking care of some man or other; for there was in all their minds a mute questioning of deference and chivalry, </UP> of the Bank of England and the Indian Empire, of ringed fingers and lace, though to them all there was something in this of the essence of beauty, which called out the manliness in their girlish hearts, and made them, as they sat at table beneath their mother's eyes, honour her strange severity, her extreme courtesy, like a queen's raising from the mud to wash a beggar's dirty foot, when she admonished them so very severely about that wretched atheist who had chased them--or, speaking accurately, been invited to stay with them--in the Isle of Skye. </LS>",'(',Someone had blundered.,Mr. Ramsay squared his shoulders and stood very upright by the urn.,someone had blundered.
"""But,""","Such were the extremes of emotion that Mr. Ramsay excited in his children's breasts by his mere presence; standing, as now, lean as a knife, narrow as the blade of one, grinning sarcastically, not only with the pleasure of disillusioning his son and casting ridicule upon his wife, who was ten thousand times better in every way than he was (James thought), but also with some secret conceit at his own accuracy of judgement. What he said was true.","She could not follow the ugly academic jargon, that rattled itself off so glibly, but said to herself that she saw now why going to the circus had knocked him off his perch, poor little man, and why he came out, instantly, with all that about his father and mother and brothers and sisters, and she would see to it that they didn't laugh at him any more; she would tell Prue about it. What he would have liked, she supposed, would have been to say how he had gone not to the circus but to Ibsen with the Ramsays. He was an awful prig - oh yes, an insufferable bore. For, though they had reached the town now and were in the main street, with carts grinding past on the cobbles, still he went on talking, about settlements, and teaching, and working men, and helping our own class, and lectures, till she gathered that he had got back entire self-confidence, had recovered from the circus, and was about (and now again she liked him warmly) to tell her--but here, the houses falling away on both sides, they came out on the quay, and the whole bay spread before them and Mrs. Ramsay could not help exclaiming, ""Oh, how beautiful!"" For the great plateful of blue water was before her; the hoary Lighthouse, distant, austere, in the midst; and on the right, as far as the eye could see, fading and falling, in soft low pleats, the green sand dunes with the wild flowing grasses on them, which always seemed to be running away into some moon country, uninhabited of men.",one must take them whatever comforts one can.</NCP>,glared at them. He glared at them,"It was as if the water floated off and set sailing thoughts which had grown stagnant on dry land, and gave to their bodies even some sort of physical relief. First, the pulse of colour flooded the bay with blue, and the heart expanded with it and the body swam, only the next instant to be checked and chilled by the prickly blackness on the ruffled waves. <LS> Then, up behind the great black rock, almost every evening spurted irregularly, so that one had to watch for it and it was a delight when it came, a fountain of white water; and then, while one waited for that, one watched, on the pale semicircular beach, wave after wave shedding again and again smoothly, a film of mother-of-pearl. </LS>",')',Only then they need not cut sandwiches--that was all.,"So that is marriage,",He shivered; he quivered.
"""it won't be fine.""","He was incapable of untruth; never tampered with a fact; never altered a disagreeable word to suit the pleasure or convenience of any mortal being, least of all of his own children, who, sprung from his loins, should be aware from childhood that life is difficult; facts uncompromising; and the passage to that fabled land where our brightest hopes are extinguished, our frail barks founder in darkness (here Mr. Ramsay would straighten his back and narrow his little blue eyes upon the horizon), one that needs, above all, courage, truth, and the power to endure.","Under the influence of that extraordinary emotion which had been growing all the walk, had begun in the garden when he had wanted to take her bag, had increased in the town when he had wanted to tell her everything about himself, he was coming to see himself, and everything he had ever known gone crooked a little. It was awfully strange.","Yes, he did say disagreeable things,",,"But was it nothing but looks, people said? What was there behind itï¿½her beauty and splendour? Had he blown his brains out, they asked, had he died the week before they were married--some other, earlier lover, of whom rumours reached one? Or was there nothing? nothing but an incomparable beauty which she lived behind, and could do nothing to disturb? For easily though she might have said at some moment of intimacy when stories of great passion, of love foiled, of ambition thwarted came her way how she too had known or felt or been through it herself, she never spoke. She was silent always. She knew then--she knew without having learnt. Her simplicity fathomed what clever people falsified. Her singleness of mind made her drop plumb like a stone, alight exact as a bird, gave her, naturally, this swoop and fall of the spirit upon truth which delighted, eased, sustained--falsely perhaps.",<NCP>George Manning; Mr. Wallace;</NCP>,"The lovers were fiddlesticks,","a man and a woman looking at a girl throwing a ball. That is what Mrs. Ramsay tried to tell me the other night,",He quivered; he shivered.
"""But it may be fine--I expect it will be fine,""","<IIM> If she finished it tonight, if they did go to the Lighthouse after all, it was to be given to the Lighthouse keeper for his little boy, who was threatened with a tuberculous hip; together with a pile of old magazines, and some tobacco, indeed, whatever she could find lying about, not really wanted, but only littering the room, to give those poor fellows, who must be bored to death sitting all day with nothing to do but polish the lamp and trim the wick and rake about on their scrap of garden, something to amuse them. </IIM>","With stars in her eyes and veils in her hair, with cyclamen and wild violets--what nonsense was he thinking? She was fifty at least; she had eight children. Stepping through fields of flowers and taking to her breast buds that had broken and lambs that had fallen; with the stars in her eyes and the wind in her hair -","it was odious of him to rub this in, and make James still more disappointed;",,"It was a splendid mind. For if thought is like the keyboard of a piano, divided into so many notes, or like the alphabet is ranged in twenty-six letters all in order, then his splendid mind had no sort of difficulty in running over those letters one by one, firmly and accurately, until it had reached, say, the letter Q. He reached Q. Very few people in the whole of England ever reach Q. Here, stopping for one moment by the stone urn which held the geraniums, he saw, but now far, far away, like children picking up shells, divinely innocent and occupied with little trifles at their feet and somehow entirely defenceless against a doom which he perceived, his wife and son, together, in the window. They needed his protection; he gave it them. But after Q? What comes next? After Q there are a number of letters the last of which is scarcely visible to mortal eyes, but glimmers red in the distance. Z is only reached once by one man in a generation. Still, if he could reach R it would be something. Here at least was Q. He dug his heels in at Q. Q he was sure of. Q he could demonstrate. If Q then is Q--R--. Here he knocked his pipe out, with two or three resonant taps on the handle of the urn, and proceeded. ""Then R ..."" He braced himself. He clenched himself.",It was true; he was for the most part happy; he had his wife; he had his children;,,"Certainly, Nancy had gone with them, since Minta Doyle had asked it with her dumb look, holding out her hand, as Nancy made off, after lunch, to her attic, to escape the horror of family life. She supposed she must go then. She did not want to go. She did not want to be drawn into it all. For as they walked along the road to the cliff Minta kept on taking her hand. Then she would let it go. Then she would take it again.<FID>What was it she wanted?</FID>Nancy asked herself. <IIM>There was something, of course, that people wanted;</IIM> for when Minta took her hand and held it, Nancy, reluctantly, saw the whole world spread out beneath her, as if it were Constantinople seen through a mist, and then, however heavy-eyed one might be, one must needs ask,""Is that Santa Sofia?"" ""Is that the Golden Horn?"" So Nancy asked, when Minta took her hand,<IIM> ""What is it that she wants? Is it that?"" And what was that? </IIM> Here and there emerged from the mist (as Nancy looked down upon life spread beneath her) a pinnacle, a dome; prominent things, without names. But when Minta dropped her hand, as she did when they ran down the hillside, all that, the dome, the pinnacle, whatever it was that had protruded through the mist, sank down into it and disappeared. </P160> <P161> <FID>Minta,</FID>Andrew observed,<FID> was rather a good walker. She wore more sensible clothes that most women. She wore very short skirts and black knickerbockers. She would jump straight into a stream and flounder across. </FID> He liked her rashness, but he saw that it would not do--she would kill herself in some idiotic way one of these days. She seemed to be afraid of nothing--except bulls. At the mere sight of a bull in a field she would throw up her arms and fly screaming, which was the very thing to enrage a bull of course. But she did not mind owning up to it in the least; one must admit that. She knew she was an awful coward about bulls, she said. She thought she must have been tossed in her perambulator when she was a baby. She didn't seem to mind what she said or did. Suddenly now she pitched down on the edge of the cliff and began to sing some song about Damn your eyes, damn your eyes. They all had to join in and sing the chorus, and shout out together: Damn your eyes, damn your eyes, but it would be fatal to let the tide come in and cover up all the good hunting-grounds before they got on to the beach. </P161> <P162> <DD>""Fatal,""</DD> Paul agreed, springing up, and as they went slithering down, he kept quoting the guide-book about ""these islands being justly celebrated for their park-like prospects and the extent and variety of their marine curiosities."" <IIM> But it would not do altogether, this shouting and damning your eyes, Andrew felt, picking his way down the cliff, this clapping him on the back, and calling him ""old fellow"" and all that; it would not altogether do. It was the worst of taking women on walks. </IIM> Once on the beach they separated, he going out on to the Pope's Nose, taking his shoes off, and rolling his socks in them and letting that couple look after themselves; Nancy waded out to her own rocks and searched her own pools and let that couple look after themselves. She crouched low down and touched the smooth rubber-like sea anemones, who were stuck like lumps of jelly to the side of the rock. Brooding, she changed the pool into the sea, and made the minnows into sharks and whales, and cast vast clouds over this tiny world by holding her hand against the sun, and so brought darkness and desolation, like God himself, to millions of ignorant and innocent creatures, and then took her hand away suddenly and let the sun stream down. Out on the pale criss-crossed sand, high-stepping, fringed, gauntleted, stalked some fantastic leviathan (she was still enlarging the pool), and slipped into the vast fissures of the mountain side. <LS> And then, letting her eyes slide imperceptibly above the pool and rest on that wavering line of sea and sky, on the tree trunks which the smoke of steamers made waver on the horizon, she became with all that power sweeping savagely in and inevitably withdrawing, hypnotised, and the two senses of that vastness and this tininess (the pool had diminished again) flowering within it made her feel that she was bound hand and foot and unable to move by the intensity of feelings which reduced her own body, her own life, and the lives of all the people in the world, for ever, to nothingness. </LS> So listening to the waves, crouching over the pool, she brooded. </P162> <P163> And Andrew shouted that the sea was coming in, so she leapt splashing through the shallow waves on to the shore and ran up the beach and was carried by her own impetuosity and her desire for rapid movement right behind a rock and there--oh, heavens! in each other's arms, were Paul and Minta kissing probably. She was outraged, indignant. She and Andrew put on their shoes and stockings in dead silence without saying a thing about it. Indeed they were rather sharp with each other.<FID> She might have called him when she saw the crayfish or whatever it was, </FID> Andrew grumbled. However, they both felt,<IIM>it's not our fault.</IIM>They had not wanted this horrid nuisance to happen. All the same it irritated Andrew that Nancy should be a woman, and Nancy that Andrew should be a man, and they tied their shoes very neatly and drew the bows rather tight. </P163> <P164> It was not until they had climbed right up on to the top of the cliff again that Minta cried out that she had lost <RW> her grandmother's brooch-- her grandmother's brooch, </RW> the sole ornament she possessed--a weeping willow, it was (they must remember it) set in pearls.<FID> They must have seen it, </FID>she said, with the tears running down her cheeks,<FID> the brooch which her grandmother had fastened her cap with till the last day of her life. </FID> Now she had lost it. She would rather have lost anything than that! She would go back and look for it. They all went back. They poked and peered and looked. They kept their heads very low, and said things shortly and gruffly. Paul Rayley searched like a madman all about the rock where they had been sitting.<IIM> <NCP>All this pother about a brooch really didn't do at all,",he did not trust her.
"<NCE>""It's due west,""</NCE>","<SC> They knew what he liked best-to be for ever walking <RWs> up and down, up and down, </RWs> with Mr. Ramsay, and saying <RWs> wo had won this, who had won </RWs> that, <RWs> who was </RWs> a ""first rate man"" at Latin verses, <RWs> who was </RWs>""brilliant but I think fundamentally unsound,"" <RWs>who was </RWs> undoubtedly the ""ablest fellow in Balliol,"" who had buried his light temporarily at Bristol or Bedford, but was bound to be heard of later when his Prolegomena, of which Mr. Tansley had the first pages in proof with him if Mr. Ramsay would like to see them, to some branch of mathematics or philosophy saw the light of day. </SC>","All these young men parodied her husband,","He had not chased them,",,"Feelings that would not have disgraced a leader who, now that the snow has begun to fall and the mountain top is covered in mist, knows that he must lay himself down and die before morning comes, stole upon him, paling the colour of his eyes, giving him, even in the two minutes of his turn on the terrace, the bleached look of withered old age. Yet he would not die lying down; he would find some crag of rock, and there, his eyes fixed on the storm, trying to the end to pierce the darkness, he would die standing. He would never reach R.","For Cam grazed the easel by an inch; she would not stop for Mr. Bankes and Lily Briscoe; though Mr. Bankes, who would have liked a daughter of his own, held out his hand; she would not stop for her father, whom she grazed also by an inch;",,"And so on and so on,",He did not trust her.
"""Nonsense,""","<SC> Disappearing as stealthily as stags from the dinner-table directly the meal was over, the eight sons and daughters of Mr. and Mrs. Ramsay sought their bedrooms, their fastness in a house where there was no other privacy to debate anything, everything; <UP> Tansley's tie; the passing of the Reform Bill; sea birds and butterflies; people; </UP> while the sun poured into those attics, which a plank alone separated from each other so that every footstep could be plainly heard and the Swiss girl sobbing for her father who was dying of cancer in a valley of the Grisons, and lit up bats, flannels, straw hats, ink-pots, paint-pots, beetles, and the skulls of small birds, while it drew from the long frilled strips of seaweed pinned to the wall a smell of salt and weeds, which was in the towels too, gritty with sand from bathing. </SC>","With her little Chinese eyes and her puckered-up face, she would never marry; one could not take her painting very seriously; she was an independent little creature, and Mrs. Ramsay liked her for it; so, remembering her promise, she bent her head.","He was such a miserable specimen,",,"Who shall blame him, if, so standing for a moment he dwells upon fame, upon search parties, upon cairns raised by grateful followers over his bones? Finally, who shall blame the leader of the doomed expedition, if, having adventured to the uttermost, and used his strength wholly to the last ounce and fallen asleep not much caring if he wakes or not, he now perceives by some pricking in his toes that he lives, and does not on the whole object to live, but requires sympathy, and whisky, and some one to tell the story of his suffering to at once? Who shall blame him? Who will not secretly rejoice when the hero puts his armour off, and halts by the window and gazes at his wife and son, who, very distant at first, gradually come closer and closer, till lips and book and head are clearly before him, though still lovely and unfamiliar from the intensity of his isolation and the waste of ages and the perishing of the stars, and finally putting his pipe in his pocket and bending his magnificent head before her--who will blame him if he does homage to the beauty of the world?",'(',,"And so then,",after all--after all
"""There'll be no landing at the Lighthouse tomorrow,""","<SC> She had in mind at the moment, rich and poor, high and low; the great in birth receiving from her, half grudging, some respect, for had she not in her veins the blood of that very noble, if slightly mythical, Italian house, whose daughters, scattered about English drawing-rooms in the nineteenth century, had lisped so charmingly, had stormed so wildly, and all her wit and her bearing and her temper came from them, and not from the sluggish English, or the cold Scotch; but more profoundly, she ruminated the other problem, of rich and poor, and the things she saw with her own eyes, weekly, daily, here or in London, when she visited this widow, or that struggling wife in person with a bag on her arm, and a note-book and pencil with which she wrote down in columns carefully ruled for the purpose wages and spendings, employment and unemployment, in the hope that thus she would cease to be a private woman whose charity was half a sop to her own indignation, half a relief to her own curiosity, and become what with her untrained mind she greatly admired, an investigator, elucidating the social problem. </SC>","Never was anybody at once so ridiculous and so alarming. But so long as he kept like that, waving, shouting, she was safe; he would not stand still and look at her picture. And that was what Lily Briscoe could not have endured. Even while she looked at the mass, at the line, at the colour, at Mrs. Ramsay sitting in the window with James, she kept a feeler on her surroundings lest some one should creep up, and suddenly she should find her picture looked at. <LS> But now, with all her senses quickened as they were, looking, straining, till the colour of the wall and the jacmanna beyond burnt into her eyes, she was aware of someone coming out of the house, coming towards her; but somehow divined, from the footfall, William Bankes, so that though her brush quivered, she did not, as she would have done had it been Mr. Tansley, Paul Rayley, Minta Doyle, or practically anybody else, turn her canvas upon the grass, but let it stand. William Bankes stood beside her. </LS>","all humps and hollows. He couldn't play cricket; he poked; he shuffled. He was a sarcastic brute,",,"Well, look then, feel then. Flashing her needles, glancing round about her, out of the window, into the room, at James himself, she assured him, beyond a shadow of a doubt, by her laugh, her poise, her competence (as a nurse carrying a light across a dark room assures a fractious child), that it was real; the house was full; the garden blowing. If he put implicit faith in her, nothing should hurt him; however deep he buried himself or climed high, not for a second should he find himself without her. So boasting of her capacity to surround and protect, there was scarcely a shell of herself left for her to know herself by; all was so lavished and spent; and James, as he stood stiff between her knees, felt her rise in a rosy-flowered fruit tree laid with leaves and dancing boughs into which the beak of brass, the arid scimitar of his father, the egotistical man, plunged and smote, demanding sympathy.",<NCP>up at dawn: it was lost:</NCP> she knew that:,,"--poor man! who had no wife, and no children and dined alone in lodgings except for tonight; and in pity for him, life being now strong enough to bear her on again, she began all this business, as a sailor not without weariness sees the wind fill his sail and yet hardly wants to be off again and thinks how, had the ship sunk, he would have whirled round and round and found rest on the floor of the sea.","after all,"
"""Aren't you drenched to the skin?""","<IIM> And, with her basket and her parasol, there she was again, ten minutes later, giving out a sense of being ready, of being equipped for a jaunt, which, however, she must interrupt for a moment, as they passed the tennis lawn, to ask Mr. Carmichael, who was basking with his yellow cat's eyes ajar, so that like a cat's they seemed to reflect the branches moving or the clouds passing, but to give no inkling of any inner thoughts or emotion whatsoever, if he wanted anything. </IIM>","Her shoes were excellent, he observed. They allowed the toes their natural expansion. Lodging in the same house with her, he had noticed too, how orderly she was, up before breakfast and off to paint, he believed, alone: poor, presumably, and without the complexion or the allurement of Miss Doyle certainly, but with a good sense which made her in his eyes superior to that young lady. Now, for instance, when Ramsay bore down on them, shouting, gesticulating, Miss Briscoe, he felt certain, understood.","<NCP>Yes,</NCP> said Charles Tansley, </NCP>it was a little rough.</NCP>",,"Every throb of this pulse seemed, as he walked away, to enclose her and her husband, and to give to each that solace which two different notes, one high, one low, struck together, seem to give each other as they combine. Yet as the resonance died, and she turned to the Fairy Tale again, Mrs. Ramsey felt not only exhausted in body (afterwards, not at the time, she always felt this) but also there tinged her physical fatigue some faintly disagreeable sensation with another origin. <LS> Not that, as she read aloud the story of the Fisherman's Wife, she knew precisely what it came from; nor did she let herself put into words her dissatisfaction when she realized, at the turn of the page when she stopped and heard dully, ominously, a wave fall, how it came from this: she did not like, even for a second, to feel finer than her husband; and further, could not bear not being entirely sure, when she spoke to him, of the truth of what she said. </LS> Universities and people wanting him, lectures and books and their being of the highest importance--all that she did not doubt for a moment; but it was their relation, and his coming to her like that, openly, so that any one could see, that discomposed her; for then people said he depended on her, when they must know that of the two he was infinitely the more important, and what she gave the world, in comparison with what he gave, negligable. <LS> But then again, it was the other thing too--not being able to tell him the truth, being afraid, for instance, about the greenhouse roof and the expense it would be, fifty pounds perhaps to mend it; and then about his books, to be afraid that he might guess, what she a little suspected, that his last book was not quite his best book (she gathered that from William Bankes); and then to hide small daily things, and the children seeing it, and the burden it laid on them--all this diminished the entire joy, the pure joy, of the two notes sounding together, and let the sound die on her ear now with a dismal flatness. </LS>",')',,strange no-man's land,She had been
"""Damp, not wet through,""","His hands clasped themselves over his capacious paunch, his eyes blinked, as if he would have liked to reply kindly to these blandishments (she was seductive but a little nervous) but could not, sunk as he was in a grey-green somnolence which embraced them all, without need of words, <UP> in a vast and benevolent lethargy of well-wishing; all the house; all the world; </UP> all the people in it, for he had slipped into his glass at lunch a few drops of something, which accounted, the children thought, for the vivid streak of canary-yellow in moustache and beard that were otherwise milk white. <FID> No, nothing, </FID> he murmured.","So, Lily thought, it was probably an excuse of his for moving, for getting out of earshot, that made Mr. Bankes almost immediately say something about its being chilly and suggested taking a stroll.","But it was not that they minded,",,,,,"Poor William Bankes,",She had been
